~id,~label,symbol:String,exp_hr_coeff:String,hr_pval:String
gene:AC011308.1,Gene,AC011308.1,N/A,N/A
gene:AC011467.1,Gene,AC011467.1,N/A,N/A
gene:AC011484.1,Gene,AC011484.1,N/A,N/A
gene:AC011530.4,Gene,AC011530.4,N/A,N/A
gene:AC011718.2,Gene,AC011718.2,N/A,N/A
gene:AC011897.1,Gene,AC011897.1,N/A,N/A
gene:AC011997.1,Gene,AC011997.1,N/A,N/A
gene:AC011998.4,Gene,AC011998.4,N/A,N/A
gene:AC012123.1,Gene,AC012123.1,N/A,N/A
gene:AC012215.1,Gene,AC012215.1,N/A,N/A
gene:AC012309.5,Gene,AC012309.5,N/A,N/A
gene:AC012317.1,Gene,AC012317.1,N/A,N/A
gene:AC012487.2,Gene,AC012487.2,N/A,N/A
gene:AC013271.3,Gene,AC013271.3,N/A,N/A
gene:AC013394.2,Gene,AC013394.2,N/A,N/A
gene:AC015818.3,Gene,AC015818.3,N/A,N/A
gene:AC015849.16,Gene,AC015849.16,N/A,N/A
gene:AC015987.2,Gene,AC015987.2,N/A,N/A
gene:AC016582.2,Gene,AC016582.2,N/A,N/A
gene:AC016747.3,Gene,AC016747.3,N/A,N/A
gene:AC016757.3,Gene,AC016757.3,N/A,N/A
gene:AC017035.2,Gene,AC017035.2,N/A,N/A
gene:AC018462.2,Gene,AC018462.2,N/A,N/A
gene:AC018470.1,Gene,AC018470.1,N/A,N/A
gene:AC018755.1,Gene,AC018755.1,N/A,N/A
gene:AC018867.2,Gene,AC018867.2,N/A,N/A
gene:AC019171.1,Gene,AC019171.1,N/A,N/A
gene:AC019294.1,Gene,AC019294.1,N/A,N/A
gene:AC020629.1,Gene,AC020629.1,N/A,N/A
gene:AC020907.1,Gene,AC020907.1,N/A,N/A
gene:AC020922.1,Gene,AC020922.1,N/A,N/A
gene:AC022007.5,Gene,AC022007.5,N/A,N/A
gene:AC022400.2,Gene,AC022400.2,N/A,N/A
gene:AC022498.1,Gene,AC022498.1,N/A,N/A
gene:AC022532.1,Gene,AC022532.1,N/A,N/A
gene:AC022596.6,Gene,AC022596.6,0.151093,0.0756043
gene:AC022616.1,Gene,AC022616.1,N/A,N/A
gene:AC023490.1,Gene,AC023490.1,N/A,N/A
gene:AC023490.2,Gene,AC023490.2,N/A,N/A
gene:AC024560.3,Gene,AC024560.3,N/A,N/A
gene:AC024592.12,Gene,AC024592.12,N/A,N/A
gene:AC024940.1,Gene,AC024940.1,N/A,N/A
gene:AC025594.1,Gene,AC025594.1,N/A,N/A
gene:AC026150.5,Gene,AC026150.5,N/A,N/A
gene:AC026202.1,Gene,AC026202.1,N/A,N/A
gene:AC026310.1,Gene,AC026310.1,N/A,N/A
gene:AC026369.1,Gene,AC026369.1,N/A,N/A
gene:AC026407.1,Gene,AC026407.1,N/A,N/A
gene:AC026703.1,Gene,AC026703.1,N/A,N/A
gene:AC027612.6,Gene,AC027612.6,N/A,N/A
gene:AC027763.2,Gene,AC027763.2,N/A,N/A
gene:AC034110.1,Gene,AC034110.1,N/A,N/A
gene:AC034228.4,Gene,AC034228.4,N/A,N/A
gene:AC037199.1,Gene,AC037199.1,N/A,N/A
gene:AC037459.4,Gene,AC037459.4,N/A,N/A
gene:AC040160.1,Gene,AC040160.1,N/A,N/A
gene:AC040977.1,Gene,AC040977.1,N/A,N/A
gene:AC044860.1,Gene,AC044860.1,N/A,N/A
gene:AC053503.4,Gene,AC053503.4,N/A,N/A
gene:AC061975.8,Gene,AC061975.8,N/A,N/A
gene:AC061992.1,Gene,AC061992.1,N/A,N/A
gene:AC062028.1,Gene,AC062028.1,N/A,N/A
gene:AC068533.7,Gene,AC068533.7,N/A,N/A
gene:AC068587.2,Gene,AC068587.2,N/A,N/A
gene:AC068831.10,Gene,AC068831.10,N/A,N/A
gene:AC068987.1,Gene,AC068987.1,N/A,N/A
gene:AC069368.3,Gene,AC069368.3,N/A,N/A
gene:AC069513.4,Gene,AC069513.4,N/A,N/A
gene:AC073254.1,Gene,AC073254.1,N/A,N/A
gene:AC073342.1,Gene,AC073342.1,N/A,N/A
gene:AC073343.1,Gene,AC073343.1,N/A,N/A
gene:AC073610.5,Gene,AC073610.5,N/A,N/A
gene:AC073869.2,Gene,AC073869.2,N/A,N/A
gene:AC074091.13,Gene,AC074091.13,N/A,N/A
gene:AC074389.6,Gene,AC074389.6,N/A,N/A
gene:AC074391.1,Gene,AC074391.1,N/A,N/A
gene:AC078864.1,Gene,AC078864.1,N/A,N/A
gene:AC079210.1,Gene,AC079210.1,N/A,N/A
gene:AC079341.1,Gene,AC079341.1,N/A,N/A
gene:AC079354.1,Gene,AC079354.1,N/A,N/A
gene:AC079586.1,Gene,AC079586.1,N/A,N/A
gene:AC079612.1,Gene,AC079612.1,N/A,N/A
gene:AC079776.3,Gene,AC079776.3,N/A,N/A
gene:AC080008.1,Gene,AC080008.1,N/A,N/A
gene:AC083906.2,Gene,AC083906.2,N/A,N/A
gene:AC087645.1,Gene,AC087645.1,N/A,N/A
gene:AC090044.1,Gene,AC090044.1,N/A,N/A
