"Gene","Clinically_Sig"
"CD151",0
"KNTC1",0
"ABCB9",0
"DNAJC14",0
"HSD17B6",0
"C12orf56",0
"CENPJ",1
"SLC7A1",0
"TSC22D1",0
"PCDH17",0
"MYCBP2",1
"HHIPL1",0
"LRP10",0
"SYNJ2BP",0
"ALKBH1",0
"CATSPERB",0
"C15orf57",0
"TLN2",0
"DAPK2",0
"TBL3",0
"E4F1",0
"RNPS1",0
"SALL1",1
"HAS3",0
"SCARF1",0
"MYO18A",0
"OR3A1",0
"ERBB2",1
"GHDC",0
"ATP6V0A1",1
"MYBBP1A",0
"GIP",0
"RSAD1",0
"ZBTB4",0
"SGSH",1
"NPC1",1
"LAMA3",1
"GAREM",0
"ANKRD12",0
"P2RY11",0
"PDE4A",0
"DNM2",1
"YIPF2",0
"SIN3B",1
"UPF1",1
"TJP3",0
"ZFP36",0
"ZNF574",0
"PNMAL2",0
"GNG8",0
"PRKCG",1
"BRSK1",0
"ZNF471",0
"ZIM3",0
"ZNF584",0
"XAB2",0
"TRMT13",0
"EPS8L3",0
"SYCP1",0
"ADAMTSL4",1
"DENND4B",0
"C1orf85",0
"C1orf64",0
"NFASC",1
"PM20D1",0
"FCAMR",0
"RP11.193H5.1",0
"DLGAP3",0
"LEPRE1",1
"IPP",0
"GLIS1",0
"RP4.705O1.1",0
"ZHX3",0
"SLCO4A1",0
"SYNJ1",1
"FAM211B",0
"MICALL1",0
"CPT1B",0
"SULT1C2",0
"KCNE4",0
"LHCGR",1
"PNO1",0
"TET3",1
"SNRNP200",0
"CNNM3",0
"SEMA5B",0
"UBA5",1
"GRIP2",0
"LAMB2",1
"BSN",0
"CAMKV",0
"CACNA1D",0
"WDR1",0
"SPATA5",1
"RAB28",0
"NELFA",0
"ZNF721",0
"KIT",1
"PDE6B",1
"UGT2B17",0
"SH3TC1",0
"WDR36",0
"CAMK4",0
"ARAP3",0
"SH3PXD2B",1
"CDH12",0
"SDHA",1
"PDZD2",0
"PTGER4",0
"MTRR",1
"ANKRD32",0
"TAB2",1
"TAGAP",0
"PRSS16",0
"DXO",0
"TAP1",1
"SBP1",0
"TEAD3",0
"KCNK5",0
"MAD2L1BP",0
"EPHB4",1
"SRRT",0
"RELN",1
"KCND2",1
"FLNC",1
"SDK1",0
"ZHX1",0
"PLEC",1
"CA2",0
"UQCRB",1
"PAPPA",0
"TLR4",0
"LHX2",0
"PKN3",0
"ZDHHC12",0
"C9orf114",1
"TLE1",0
"S1PR3",0
"MAGEA11",0
"CD99L2",0
"L1CAM",1
"MAGEE1",0
"PGAM4",0
"ITGA8",1
"CDHR1",1
"GRIA4",0
"PRR5L",0
"INPPL1",1
"CREBZF",0
"CIT",1
"ARID2",1
"VWF",1
"GRK1",0
"RIN3",0
"DMXL2",1
"ADAMTSL3",0
"RP11.812E19.9",0
"BCMO1",0
"MAP3K14",0
"ARHGAP27",0
"MTMR4",0
"DNAH2",1
"CELF4",0
"ANO8",0
"ZNF724P",0
"SUPT5H",0
