Gene,Frequency
RPRD1B,0.00884955752212389
DNAJC28,0.023598820058997
SOX10,0.0324483775811209
CELSR1,0.0943952802359882
SLC9A4,0.0265486725663717
IL1B,0.0147492625368732
TUBA4A,0.0206489675516224
DES,0.0206489675516224
SPTBN1,0.0855457227138643
BCL11A,0.0442477876106195
ZNF385D,0.0471976401179941
CEP170P1,0.00884955752212389
WWC2,0.0294985250737463
EPHA5,0.0825958702064897
PCDHGA8,0.0589970501474926
ADAMTS2,0.0884955752212389
GFM2,0.0147492625368732
LAMA2,0.117994100294985
SASH1,0.0501474926253687
PLEKHG1,0.0501474926253687
PLG,0.0530973451327434
TREML2,0.0147492625368732
DEFB110,0
GAL3ST4,0.0294985250737463
RNF19A,0.023598820058997
ASAH1,0.0176991150442478
USP9X,0.0855457227138643
ARMC3,0.0471976401179941
ZNF248,0.023598820058997
C10orf10,0
PTEN,0.0707964601769911
PHRF1,0.056047197640118
PICALM,0.0324483775811209
UBC,0.0117994100294985
ANO2,0.0471976401179941
LEPREL2,0.0471976401179941
OCA2,0.0648967551622419
TRPM1,0.0501474926253687
EXD1,0.0206489675516224
ALDH1A2,0.0353982300884956
SCNN1B,0.0206489675516224
CLDN6,0.0117994100294985
ITGAD,0.0353982300884956
PAPL,0.0324483775811209
PSG1,0.023598820058997
COL11A1,0.112094395280236
CENPF,0.0737463126843658
OBSCN,0.247787610619469
GJB3,0.0294985250737463
C8B,0.0412979351032448
HOOK1,0.023598820058997
DEFB118,0.00589970501474926
DLGAP4,0.0353982300884956
TPST2,0.0147492625368732
PPIG,0.023598820058997
TTN,0.557522123893805
COL6A3,0.132743362831858
ITPR1,0.0766961651917404
FLNB,0.0855457227138643
ENPP6,0.0147492625368732
HGFAC,0.0206489675516224
ADRA2C,0.00884955752212389
AFM,0.023598820058997
SLC27A6,0.0442477876106195
PCDHGA1,0.0442477876106195
PLEKHG4B,0.0619469026548673
FAM153C,0
KDM7A,0.0206489675516224
PLAG1,0.0294985250737463
H2BFWT,0.0147492625368732
RP1.274L7.1,0.0117994100294985
GEMIN8,0.0147492625368732
GABRA3,0.0206489675516224
P2RY8,0.0324483775811209
KLHL34,0.0471976401179941
ZNF81,0.0117994100294985
JMJD1C,0.0412979351032448
PIPSL,0.0471976401179941
TCTN3,0.0265486725663717
SIAE,0.0176991150442478
UEVLD,0.0147492625368732
CNGA4,0.023598820058997
PAK1,0.0265486725663717
DHX37,0.0442477876106195
SLCO1B7,0.0265486725663717
USP5,0.0383480825958702
PTPN6,0.0265486725663717
PEX5,0.0206489675516224
FAM90A1,0.0206489675516224
SACS,0.126843657817109
ATP7B,0.0353982300884956
CBLN3,0.0206489675516224
EAPP,0.0117994100294985
FMN1,0.0353982300884956
GALK2,0.0206489675516224
CSNK1G1,0.0147492625368732
GOLGA6C,0.0147492625368732
HS3ST6,0.00294985250737463
STX1B,0.0117994100294985
CDH8,0.056047197640118
MSLNL,0.0294985250737463
CENPBD1,0.00884955752212389
SDK2,0.0914454277286136
TMEM104,0.0324483775811209
TBC1D16,0.023598820058997
MYH10,0.0442477876106195
PIEZO2,0.0206489675516224
RTTN,0.0471976401179941
ATP9B,0.0353982300884956
SMARCA4,0.056047197640118
ZNF429,0.0294985250737463
GRIK5,0.0589970501474926
NLRP11,0.0324483775811209
MUC16,0.312684365781711
ZNF266,0.023598820058997
TTF2,0.0353982300884956
ITGA10,0.056047197640118
ZNF687,0.0353982300884956
FLG,0.179941002949853
PTPRC,0.0707964601769911
HHIPL2,0.0324483775811209
EPHB2,0.0442477876106195
SYTL1,0.0147492625368732
TMEM53,0.00589970501474926
TAL1,0.0117994100294985
C1orf141,0.0206489675516224
COL24A1,0.0471976401179941
DSN1,0.0147492625368732
PTPRT,0.0973451327433628
MX2,0.023598820058997
TBC1D8,0.0412979351032448
LRP1B,0.188790560471976
SLC38A11,0.0206489675516224
SCN2A,0.0914454277286136
APOB,0.100294985250737
CAD,0.0530973451327434
THADA,0.0265486725663717
PIK3CB,0.023598820058997
ATR,0.0501474926253687
HPS3,0.0206489675516224
RNF168,0.0206489675516224
FBXO45,0.00589970501474926
TOP2B,0.0648967551622419
FBXL2,0.0176991150442478
XIRP1,0.0648967551622419
CCDC12,0.00294985250737463
AMIGO3,0.0294985250737463
DNAH1,0.132743362831858
LARP7,0.023598820058997
KIAA1109,0.141592920353982
BOD1L1,0.0678466076696165
NPY2R,0.0324483775811209
ADAM29,0.0471976401179941
HTT,0.0707964601769911
HNRNPDL,0.0324483775811209
PCDHGA6,0.0619469026548673
DROSHA,0.0530973451327434
RHOBTB3,0.023598820058997
PDSS2,0.00589970501474926
TIAM2,0.0619469026548673
CDKAL1,0.00884955752212389
DAXX,0.0206489675516224
ZNF713,0.0206489675516224
SUN1,0.0265486725663717
PEX1,0.0383480825958702
RIMS2,0.0973451327433628
TRPM6,0.0707964601769911
VPS13A,0.0707964601769911
DCAF12L2,0.0619469026548673
CSF2RA,0.0294985250737463
CMC4,0.00294985250737463
IL9R,0.0176991150442478
KIAA1462,0.056047197640118
ANO3,0.0442477876106195
OR5D13,0.0265486725663717
OR10V1,0.00589970501474926
CAPN1,0.0147492625368732
SRRM4,0.0589970501474926
RIMBP2,0.0855457227138643
RAPGEF3,0.023598820058997
FGF14,0.0176991150442478
TDRD9,0.0147492625368732
C14orf39,0.0324483775811209
DET1,0.0265486725663717
CCDC135,0.0353982300884956
SMG8,0.023598820058997
DLG4,0.023598820058997
DNAH17,0.129793510324484
CTAGE1,0.0324483775811209
TNFRSF11A,0.0176991150442478
NFIX,0.00884955752212389
MATK,0.0294985250737463
ZNF526,0.023598820058997
CATSPERD,0.0501474926253687
ZNF606,0.023598820058997
KCNA2,0.0117994100294985
NKAIN1,0
SSTR4,0.0383480825958702
BPIFB2,0.0324483775811209
PPP1R16B,0.0353982300884956
PLCB4,0.0471976401179941
SLC5A7,0.0176991150442478
TPO,0.056047197640118
STAM2,0.0147492625368732
PSME4,0.0471976401179941
XYLB,0.0147492625368732
GABRA4,0.0294985250737463
ERGIC1,0
WDR70,0.0206489675516224
RFX6,0.0353982300884956
SYNJ2,0.0530973451327434
CNTNAP2,0.0973451327433628
KMT2C,0.135693215339233
NEFM,0.0442477876106195
MELK,0.0324483775811209
CT55,0.00884955752212389
MAGEB18,0.00884955752212389
ANKRD26,0.0501474926253687
MPP7,0.00884955752212389
BICC1,0.0471976401179941
OR5L1,0.0206489675516224
OR5B12,0.0117994100294985
IGHMBP2,0.023598820058997
IRAK3,0.023598820058997
ATP11A,0.0412979351032448
SNORD116.12,0
GRAMD2,0.00884955752212389
IDH3A,0.0117994100294985
PARN,0.0147492625368732
ZNF646,0.0678466076696165
KRT9,0.0206489675516224
NXN,0.0147492625368732
RECQL5,0.0383480825958702
GRIN3B,0.023598820058997
SBSN,0.0265486725663717
ZNF569,0.0294985250737463
ZNF155,0.0117994100294985
PNMAL1,0.0294985250737463
C3,0.0678466076696165
PNPLA6,0.0412979351032448
PGLYRP4,0.0176991150442478
WDR33,0.0501474926253687
IDH1,0.023598820058997
TOMM70A,0.0176991150442478
LRRC31,0.0265486725663717
CHL1,0.079646017699115
ADAMTS3,0.0383480825958702
GFRAL,0.00589970501474926
FIS1,0
HIPK2,0.0442477876106195
TRPV6,0.0442477876106195
CCDC146,0.023598820058997
EMC2,0.0117994100294985
TAF2,0.0353982300884956
SLCO5A1,0.0353982300884956
ATRX,0.0766961651917404
NEURL1,0.0147492625368732
BMS1,0.0324483775811209
CYP2C8,0.0176991150442478
MUC2,0.0707964601769911
OR5M11,0.00884955752212389
UVRAG,0.0206489675516224
NOP2,0.0324483775811209
MIR495,0.00589970501474926
IGHG2,0.0147492625368732
SIX4,0.0324483775811209
ACSM2B,0.023598820058997
ITGAM,0.0353982300884956
HYDIN,0.141592920353982
WNT3,0.023598820058997
C17orf47,0.0117994100294985
CD300A,0.00589970501474926
THEG,0.0176991150442478
ZNF571,0.0294985250737463
EEF2,0.0324483775811209
IRGC,0.0206489675516224
EXOC3L2,0.0147492625368732
LILRB2,0.0412979351032448
KIR2DL3,0.00294985250737463
OR7E24,0.0176991150442478
WNT2B,0.0147492625368732
SCN3A,0.0914454277286136
ZNF804A,0.079646017699115
FNDC4,0.00884955752212389
COLQ,0.0265486725663717
ROBO1,0.112094395280236
HELT,0.00884955752212389
SLCO6A1,0.0383480825958702
MAML1,0.0147492625368732
HECA,0.0294985250737463
LGSN,0.0206489675516224
LRWD1,0.023598820058997
CHRM2,0.0501474926253687
VPS41,0.0353982300884956
POM121L12,0.0383480825958702
RP1,0.100294985250737
SVEP1,0.0825958702064897
PRPS2,0.0117994100294985
SSX9,0
MSN,0.023598820058997
HEPH,0.0265486725663717
CRTAC1,0.0265486725663717
OR8D4,0.0147492625368732
OR51E1,0.0265486725663717
OR4C12,0.00589970501474926
DEAF1,0.0206489675516224
KDM2B,0.0619469026548673
OR6C65,0.0117994100294985
KCNMB4,0.0117994100294985
PAN3,0.0294985250737463
RXFP2,0.0412979351032448
IGHV3.21,0.00884955752212389
CERS3,0.0206489675516224
MYH13,0.079646017699115
MPP3,0.023598820058997
ASXL3,0.0412979351032448
CCDC105,0.0206489675516224
TMEM161A,0.0176991150442478
HNRNPCL1,0.0206489675516224
GPR52,0.0117994100294985
KIF21B,0.056047197640118
HSPG2,0.0855457227138643
OR2T4,0.0176991150442478
SLC2A1,0.00884955752212389
CDKN2C,0.00589970501474926
ISM1,0.00884955752212389
LCT,0.0648967551622419
LRP2,0.162241887905605
RHOQ,0.00884955752212389
SOX14,0.00294985250737463
SCN10A,0.0589970501474926
NPY5R,0.0117994100294985
NSUN7,0.00884955752212389
GABRB2,0.0294985250737463
GABRA6,0.0383480825958702
GABRP,0.0117994100294985
IL31RA,0.0206489675516224
