Gene,Frequency
PNMAL1,0.0228571428571429
C3,0.0571428571428571
PNPLA6,0.0257142857142857
PGLYRP4,0.00857142857142857
WDR33,0.04
IDH1,0.0171428571428571
TOMM70A,0.02
LRRC31,0.0314285714285714
CHL1,0.0742857142857143
ADAMTS3,0.04
GFRAL,0.00571428571428571
FIS1,0
HIPK2,0.0371428571428571
TRPV6,0.0285714285714286
CCDC146,0.0171428571428571
EMC2,0.00857142857142857
TAF2,0.0285714285714286
SLCO5A1,0.0342857142857143
ATRX,0.08
NEURL1,0.00857142857142857
BMS1,0.0285714285714286
CYP2C8,0.0171428571428571
MUC2,0.0742857142857143
OR5M11,0.00857142857142857
UVRAG,0.0142857142857143
NOP2,0.0257142857142857
MIR495,0.00857142857142857
IGHG2,0.0228571428571429
SIX4,0.0285714285714286
ACSM2B,0.0228571428571429
ITGAM,0.0314285714285714
HYDIN,0.142857142857143
WNT3,0.02
C17orf47,0.00857142857142857
CD300A,0.0114285714285714
THEG,0.0171428571428571
ZNF571,0.0285714285714286
EEF2,0.0342857142857143
IRGC,0.0171428571428571
EXOC3L2,0.0142857142857143
LILRB2,0.0314285714285714
KIR2DL3,0.00285714285714286
OR7E24,0.02
WNT2B,0.00857142857142857
SCN3A,0.0971428571428571
ZNF804A,0.06
FNDC4,0.00857142857142857
COLQ,0.0257142857142857
ROBO1,0.105714285714286
HELT,0.00857142857142857
SLCO6A1,0.0428571428571429
MAML1,0.0257142857142857
HECA,0.0257142857142857
LGSN,0.02
LRWD1,0.0257142857142857
CHRM2,0.06
VPS41,0.0428571428571429
POM121L12,0.0457142857142857
RP1,0.0914285714285714
SVEP1,0.0771428571428571
PRPS2,0.0114285714285714
SSX9,0.00285714285714286
MSN,0.0257142857142857
HEPH,0.0285714285714286
CRTAC1,0.0257142857142857
OR8D4,0.0114285714285714
OR51E1,0.0228571428571429
OR4C12,0.00571428571428571
DEAF1,0.0142857142857143
KDM2B,0.06
OR6C65,0.0171428571428571
KCNMB4,0.0114285714285714
PAN3,0.0257142857142857
RXFP2,0.04
IGHV3.21,0.00857142857142857
CERS3,0.0257142857142857
MYH13,0.0714285714285714
MPP3,0.0228571428571429
ASXL3,0.0314285714285714
CCDC105,0.0171428571428571
TMEM161A,0.0142857142857143
HNRNPCL1,0.02
GPR52,0.0142857142857143
KIF21B,0.0571428571428571
HSPG2,0.08
OR2T4,0.0142857142857143
SLC2A1,0.0142857142857143
CDKN2C,0
ISM1,0.00857142857142857
LCT,0.0485714285714286
LRP2,0.154285714285714
RHOQ,0.00857142857142857
SOX14,0.00571428571428571
SCN10A,0.0514285714285714
NPY5R,0.00857142857142857
NSUN7,0.00285714285714286
GABRB2,0.0285714285714286
GABRA6,0.0314285714285714
GABRP,0.00285714285714286
