"","gene","exp_hr_coef","hr_pval"
"73","SPTBN1",0.722106928007804,0.771805851229641
"74","BCL11A",1305037.06396904,0.994989749815156
"75","ZNF385D",1.46775271199624,0.738002762687582
"76","WWC2",0.0538481064963906,0.0456236465364986
"77","EPHA5",1.50718260032839,0.710012425521353
"78","PCDHGA8",13031108.6251209,0.994696980612856
"79","ADAMTS2",0.685239018186009,0.732283045746273
"80","LAMA2",0.49724545934451,0.52478942082995
"81","SASH1",3186561.40233689,0.995647704577026
"82","PLEKHG1",1520949.16806704,0.995889758162056
"83","PLG",1.38278597256856,0.774698749840518
"84","GAL3ST4",0.567502981127742,0.627848990716382
"85","USP9X",0.380107340244178,0.259820319356975
"86","ARMC3",5755938.29276693,0.995647244084382
"87","ZNF248",NA,NA
"88","PTEN",0.90728381786347,0.920911214944081
"89","PHRF1",0.967158598372281,0.976524912097511
"90","PICALM",0.350444619305967,0.385383352830261
"91","ANO2",412330.68409416,0.994663741968311
"92","LEPREL2",0.355442632625491,0.368152087583245
"93","OCA2",1.37997019180923,0.776103218382525
"94","TRPM1",796126.360773,0.995167978913768
"95","ALDH1A2",1240812.6970048,0.995006537087796
"96","SCNN1B",5487221.04966276,0.995631184634699
"97","ITGAD",253471.330243509,0.9956005635128
"98","PAPL",0.268758660300651,0.263798561571582
"99","PSG1",NA,NA
"100","COL11A1",0.794222133339549,0.838815469707714
"101","CENPF",0.460557367394895,0.379509286874021
"102","OBSCN",1.68535037318984,0.629460887411743
"103","GJB3",0.37271405540626,0.437401000018471
"104","C8B",1095084.57882467,0.995033743620131
"105","DLGAP4",0.672327654119734,0.741765643105697
"106","PPIG",7500611.23757359,0.995879456034398
"107","TTN",1.10839617458508,0.873440535758748
"108","COL6A3",12467242.931903,0.994084122223095
"109","ITPR1",1.0692145796368,0.952106725197388
"110","FLNB",1.29680245018095,0.815704961927485
"111","AFM",0.20374790414742,0.273862675760078
"112","SLC27A6",0.0988264753414775,0.0451807319336007
"113","PCDHGA1",10476456.596851,0.995539284469782
"114","PLEKHG4B",17358295.3517093,0.993090375210417
"115","KDM7A",NA,NA
"116","PLAG1",0.480137247857582,0.531040985578728
"117","P2RY8",1.15992627294968,0.901876935761975
"118","KLHL34",0.254601765255895,0.258549423126008
"119","JMJD1C",2011846.04077514,0.995029414887861
"120","PIPSL",503189.462288912,0.996067701913937
"121","TCTN3",3737303.39983312,0.995828859339802
"122","CNGA4",2356563.9585403,0.996095612119475
"123","PAK1",0.866519323251624,0.999982443548451
"124","DHX37",0.0535518048522315,0.0130913714342982
"125","SLCO1B7",1792360.22213574,0.994893440134639
"126","USP5",0.475935457746806,0.55919196206007
"127","PTPN6",2279565.52711078,0.99483514988622
"128","PEX5",1352807.22858615,0.994976707401367
"129","SACS",0.419184762264039,0.303284042242505
"130","ATP7B",4569391.08658991,0.995262885003661
"131","FMN1",697418.426828762,0.995215299980902
"132","CDH8",924616.852745103,0.995976040367105
"133","MSLNL",6224741.07621592,0.993921429077836
"134","SDK2",0.425626590504207,0.347772995328652
"135","TMEM104",NA,NA
"136","TBC1D16",4404176.73427481,0.99451197585673
"137","MYH10",0.730241599790011,0.794254437262125
"138","PIEZO2",0.0709843139715718,0.038460839838785
"139","RTTN",0.260885566382499,0.243238463318735
"140","ATP9B",16766397.0158336,0.995087207113326
"141","SMARCA4",0.384304287759771,0.272292159023323
"142","ZNF429",4647718.66615563,0.995959734362259
"143","GRIK5",0.272376297778437,0.266387513307154
"144","NLRP11",1759721.98480299,0.995692339582383
"145","MUC16",1.18613996096918,0.798830597436752
"146","ZNF266",NA,NA
"147","TTF2",0.211085407868256,0.222045128238464
"148","ITGA10",0.252314652153494,0.125967548267839
"149","ZNF687",0.259607373653668,0.253283554987456
"150","FLG",1.9278662529449,0.427424843232005
"151","PTPRC",0.699128274379017,0.750839392168103
"152","HHIPL2",0.197831031706157,0.203330235084812
"153","EPHB2",4313888.1510555,0.995018923780992
"154","COL24A1",0.209920762457912,0.220041998377486
"155","PTPRT",0.251166264424982,0.0748784186224452
"156","MX2",1530206.50818765,0.99583321404876
"157","TBC1D8",1.27804833164974,0.830886926514902
"158","LRP1B",1.16324461501945,0.854855115711753
"159","SCN2A",0.381612072156401,0.289430361579129
"160","APOB",0.521007143882829,0.555846930936137
"161","CAD",1748363.12850725,0.994171506869848
